Record ID,Data Status,Data Quality,Last Updated,Source ID,Source URL,Notes,Venue Name,Previous / Alternative Venue Name,Venue Type,Primary Use,Country,City,State / Prefecture,Metro Area,Latitude,Longitude,Ownership Type,Opened Year,Renovated Year,New / Renewed Venue Flag,Capacity,Total Site Area sqm,Nearest Major Station / Airport,Distance to CBD km,Sponsor Name,Sponsor Industry,Sponsor HQ Country,Contract Status,Contract Announcement Date,Contract Start Year,Contract End Year,Contract Length years,Currency,Total Contract Value Original,Annual Fee Original,Annualized Fee Original Calc,FX to Base Currency,Annualized Fee Base Currency,Inflation / CPI Normalization Factor,Real Annualized Fee Base Year,Rights Scope Summary,Included Assets / Benefits,Exclusivity Y/N,Renewal Y/N,Termination / Opt-out Y/N,Primary Tenant / Team,League / Competition,League Tier / Level,Multi-tenant Y/N,Number of Anchor Tenants,Average Home Attendance,Annual Venue Attendance,Annual Event Days,Sports Event Days,Concert / Entertainment Days,Other Event Days,Utilization Rate,Attendance per Seat,Broadcast / Streaming Viewers Annual,National Broadcast Games / Events,International Exposure Y/N,Media Mentions Annual,Estimated Media Impressions,Social Followers Tenant / Venue,Annual Social Posts Mentioning Venue,Social Impressions Annual,Avg Engagement Rate,Google Trends Index Venue,Search Volume Venue,Mobile Foot Traffic Annual,City Population,Metro Population,Regional GDP / GRP,Median Household Income,Annual Tourists / Visitors City,Number of Large Corporate HQs,Sponsor-Venue Fit Notes,Comparable Venue Group,Special Factors,Missing Data Flag,Researcher Comments,Region,Subregion,Local Country / Territory Name,Local Venue Name,English Venue Name,Original Language Source Title,Original Language,Row Source Type,Data Type / Value Basis,Value Disclosure Status,Rights Type,Naming Scope,Tax Treatment,Public / Private Facility,Facility Governance / Scheme,Bundled Assets Flag,Local Currency Notes,Regional Data Notes,Group 1-3 Completeness %,Group 1-3 Cells Filled (of 31),Group 1-2 Completeness % (excl. Tax)
SBJ-FULL-356,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=10 (2028); raw annual=$1.5M; raw total=$15M.,MidAmerican Energy Field at Jack Trice Stadium,,Ballpark / Field,Collegiate,United States,Ames,Iowa,,,,Public,1975.0,,,61500.0,,,,MidAmerican Energy,Energy/Utilities,,Listed in SBJ directory,,2019.0,2028.0,10.0,USD,15000000.0,1500000.0,1500000.0,1.0,1500000.0,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Iowa State Cyclones,NCAA Division I FBS (Big 12 Conference),Collegiate,N,1.0,60384.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,Collegiate,,N,"Source page 8. Raw fields: Years='10 (2028)', Annual='$1.5M', Total='$15M'.",,,,,,,,,,,,,,Public,,,,,0.5806451612903226,18,1.0
SBJ-FULL-362,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=10 (2023); raw annual=$4M; raw total=$40M.,Moda Center,,Arena / Indoor Venue,Major League,United States,Portland,Oregon,,,,Private,1995.0,,,19393.0,,,,Moda Health,Health Care,,Listed in SBJ directory,,2014.0,2023.0,10.0,USD,40000000.0,4000000.0,4000000.0,1.0,4000000.0,,,Major League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Portland Trail Blazers,National Basketball Association (NBA),Major League,N,1.0,17542.0,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,Major League,,N,"Source page 8. Raw fields: Years='10 (2023)', Annual='$4M', Total='$40M'.",,,,,,,,,,,,,,Private,,,,,0.5806451612903226,18,1.0
SBJ-FULL-363,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=10 (2027); raw annual=$250K; raw total=$2.5M.,Modern Woodmen Park,,Ballpark / Field,Minor League,United States,Davenport,Iowa,,,,Public,1931.0,,,4024.0,,,,Modern Woodmen Fraternal Financial,Financial Services,,Listed in SBJ directory,,2018.0,2027.0,10.0,USD,2500000.0,250000.0,250000.0,1.0,250000.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Quad Cities River Bandits,Midwest League (MiLB),Minor League,N,1.0,2589.0,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,Minor League,,N,"Source page 8. Raw fields: Years='10 (2027)', Annual='$250K', Total='$2.5M'.",,,,,,,,,,,,,,Public,,,,,0.5806451612903226,18,1.0
SBJ-FULL-364,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=12 (2030); raw annual=$287.5K; raw total=$3.45M.,Mohegan Sun Arena at Casey Plaza,,Arena / Indoor Venue,Minor League,United States,Wilkes-Barre Township,Pennsylvania,,,,Public,1999.0,,,8050.0,,,,Mohegan Sun Resort,Hotels,,Listed in SBJ directory,,2019.0,2030.0,12.0,USD,3450000.0,287500.0,287500.0,1.0,287500.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Wilkes-Barre/Scranton Penguins,American Hockey League (AHL),Minor League,N,1.0,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,Minor League,,N,"Source page 8. Raw fields: Years='12 (2030)', Annual='$287.5K', Total='$3.45M'.",,,,,,,,,,,,,,Public,,,,,0.5483870967741935,17,1.0
SBJ-FULL-365,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=25 (2038); raw annual=$144K; raw total=$3.6M.,Momentum Bank Ballpark,,Ballpark / Field,Minor League,United States,Midland,Texas,,,,Public,2002.0,,,4709.0,,,,American Momentum Bank,Financial Services,,Listed in SBJ directory,,2014.0,2038.0,25.0,USD,3600000.0,144000.0,144000.0,1.0,144000.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Midland RockHounds,Texas League (Double-A),Minor League,N,1.0,3265.0,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,Minor League,,N,"Source page 8. Raw fields: Years='25 (2038)', Annual='$144K', Total='$3.6M'.",,,,,,,,,,,,,,Public,,,,,0.5806451612903226,18,1.0
SBJ-FULL-366,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=(2035); raw annual=None; raw total=None.,Mortgage Matchup Center,,Arena / Indoor Venue,Major League,United States,Phoenix,Arizona,,,,Public,1992.0,,,18055.0,,,,Mortgage Matchup,Financial Services,,Listed in SBJ directory,,2026.0,2035.0,10.0,USD,115000000.0,11500000.0,,1.0,,,,Major League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Phoenix Suns,National Basketball Association (NBA),Major League,N,1.0,17071.0,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,Major League,,Y,"Source page 8. Raw fields: Years='(2035)', Annual='None', Total='None'.",,,,,,,,,,,,,,Public,,,,,0.5806451612903226,18,1.0
SBJ-FULL-367,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=20 (2034); raw annual=$169.86K; raw total=$3.4M.,Mosaic Stadium,,Stadium,Minor League,Canada,Regina,Saskatchewan,,,,Public,2017.0,,,33350.0,,,,The Mosaic Company,Manufacturing,,Listed in SBJ directory,,2015.0,2034.0,20.0,USD,3400000.0,169860.0,169860.0,1.0,169860.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,"Saskatchewan Roughriders, Regina Ram, Regina Thunder, Regina Riot",Canadian Football League (CFL),Minor League,Y,4.0,27684.0,,,9.0,,,,,,,,,,278095.0,,,,,,,,,,,,,,Minor League,,N,"Source page 8. Raw fields: Years='20 (2034)', Annual='$169.86K', Total='$3.4M'.",,,,,,,,,,,,,,Public,,,,,0.6129032258064516,19,1.0
SBJ-FULL-369,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=16 (2039); raw annual=$3.13M; raw total=$50M.,Mountain America Stadium,,Stadium,Collegiate,United States,Tempe,Arizona,,,,Public,1958.0,,,53599.0,,,,Mountain America Credit Union,Financial Services,,Listed in SBJ directory,,2024.0,2039.0,16.0,USD,50000000.0,3130000.0,3130000.0,1.0,3130000.0,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Arizona State Sun Devils,NCAA Division I FBS (Big 12 Conference),Collegiate,N,1.0,48984.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,Collegiate,,N,"Source page 8. Raw fields: Years='16 (2039)', Annual='$3.13M', Total='$50M'.",,,,,,,,,,,,,,Public,,,,,0.5806451612903226,18,1.0
SBJ-FULL-370,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=6 (2026); raw annual=$27.08K; raw total=$162.5K.,Muncy Bank Ballpark at Historic Bowman Field,,Ballpark / Field,Minor League,United States,Williamsport,Pennsylvania,,,,Public,1926.0,,,2366.0,,,,The Muncy Bank and Trust Company,Financial Services,,Listed in SBJ directory,,2021.0,2026.0,6.0,USD,162500.0,27080.0,27080.0,1.0,27080.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Williamsport Crosscutters,MLB Draft League,Minor League,N,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minor League,,N,"Source page 8. Raw fields: Years='6 (2026)', Annual='$27.08K', Total='$162.5K'.",,,,,,,,,,,,,,Public,,,,,0.5161290322580645,16,1.0
SBJ-FULL-371,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=5 (2026); raw annual=$2.12M; raw total=$10.6M.,MVP Arena,,Arena / Indoor Venue,Collegiate,United States,Albany,New York,,,,Public,1990.0,,,15500.0,,,,MVP Health Services,Health Care,,Listed in SBJ directory,,2022.0,2026.0,5.0,USD,10600000.0,2120000.0,2120000.0,1.0,2120000.0,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,"Siena Saints, Albany Firebirds",NCAA Division I (Metro Atlantic Athletic Conference),Collegiate,Y,2.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,Collegiate,,N,"Source page 8. Raw fields: Years='5 (2026)', Annual='$2.12M', Total='$10.6M'.",,,,,,,,,,,,,,Public,,,,,0.5483870967741935,17,1.0
SBJ-FULL-372,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=10 (2035); raw annual=$500K; raw total=$5M.,Navarre Stadium,,Stadium,Collegiate,United States,Lake Charles,Louisiana,,,,Public,1965.0,,,17410.0,,,,philanthropist Ryan Navarre,Automotive,,Listed in SBJ directory,,2026.0,2035.0,10.0,USD,5000000.0,500000.0,500000.0,1.0,500000.0,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,McNeese Cowboy football,NCAA Division I FCS (Southland Conference),Collegiate,N,1.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,Collegiate,,N,"Source page 8. Raw fields: Years='10 (2035)', Annual='$500K', Total='$5M'.",,,,,,,,,,,,,,Public,,,,,0.5483870967741935,17,1.0
SBJ-FULL-373,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=20 (2025); raw annual=$140K; raw total=$2.8M.,NBT Bank Stadium,,Stadium,Minor League,United States,Syracuse,New York,,,,Public,1997.0,,,10815.0,,,,NBT Bank,Financial Services,,Listed in SBJ directory,,2006.0,2025.0,20.0,USD,2800000.0,140000.0,140000.0,1.0,140000.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Syracuse Mets,International League (Triple-A),Minor League,N,1.0,4677.0,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,Minor League,,N,"Source page 8. Raw fields: Years='20 (2025)', Annual='$140K', Total='$2.8M'.",,,,,,,,,,,,,,Public,,,,,0.5806451612903226,18,1.0
SBJ-FULL-375,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=10 (2033); raw annual=$350K; raw total=$3.5M.,Neches Federal Credit Union Arena at the Montagne Center,,Arena / Indoor Venue,Collegiate,United States,Beaumont,Texas,,,,Public,1984.0,,,10080.0,,,,Neches Federal Credit Union Arena,Financial Services,,Listed in SBJ directory,,2024.0,2033.0,10.0,USD,3500000.0,350000.0,350000.0,1.0,350000.0,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Lamar Cardinals,NCAA Division I (Southland Conference),Collegiate,N,1.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,Collegiate,,N,"Source page 8. Raw fields: Years='10 (2033)', Annual='$350K', Total='$3.5M'.",,,,,,,,,,,,,,Public,,,,,0.5483870967741935,17,1.0
SBJ-FULL-380,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=20 (2035); raw annual=$5.75M; raw total=$115M.,Nissan Stadium,,Stadium,Major League,United States,Nashville,Tennessee,,,,Public,1999.0,,,69143.0,,,,Nissan,Automotive,,Listed in SBJ directory,,2016.0,2035.0,20.0,USD,115000000.0,5750000.0,5750000.0,1.0,5750000.0,,,Major League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Tennessee Titans,National Football League,Major League,N,1.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,Major League,,N,"Source page 8. Raw fields: Years='20 (2035)', Annual='$5.75M', Total='$115M'.",,,,,,,,,,,,,,Public,,,,,0.5483870967741935,17,1.0
SBJ-FULL-382,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=8 (2032); raw annual=$8 million to $9 million; raw total=$64 million to $72 million.,Northwest Stadium,,Stadium,Major League,United States,Landover,Maryland,,,,Private,1997.0,,,64000.0,,,,Northwest Federal Credit Union,Financial Services,,Listed in SBJ directory,,2025.0,2032.0,8.0,USD,68000000.0,8500000.0,8500000.0,1.0,8500000.0,,,Major League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Washington Commanders,National Football League,Major League,N,1.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,Major League,,N,"Source page 8. Raw fields: Years='8 (2032)', Annual='$8 million to $9 million', Total='$64 million to $72 million'. Range midpoint used in numeric annual fee field; min/max retained in SBJ_Public_Extract.",,,,,,,,,,,,,,Private,,,,,0.5483870967741935,17,1.0
SBJ-FULL-384,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=15 (2035); raw annual=$766.67K; raw total=$11.5M.,Now Arena,,Arena / Indoor Venue,Minor League,United States,Hoffman Estates,Illinois,,,,Public,2006.0,,,8700.0,,,,"NOW Health Group, Inc.",Health Care,,Listed in SBJ directory,,2021.0,2035.0,15.0,USD,11500000.0,766670.0,766670.0,1.0,766670.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Windy City Bull,NBA G League,Minor League,N,1.0,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,Minor League,,N,"Source page 8. Raw fields: Years='15 (2035)', Annual='$766.67K', Total='$11.5M'.",,,,,,,,,,,,,,Public,,,,,0.5483870967741935,17,1.0
SBJ-FULL-385,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=32 (2032); raw annual=$9.4M; raw total=$301M.,NRG Stadium,,Stadium,Major League,United States,Houston,Texas,,,,Public,2002.0,,,72220.0,,,,NRG Energy,Energy/Utilities,,Listed in SBJ directory,,2001.0,2032.0,32.0,USD,301000000.0,9400000.0,9400000.0,1.0,9400000.0,,,Major League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,"Houston Texans, Texas Bowl, Texas Kickoff Game",National Football League,Major League,Y,3.0,70782.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,Major League,,N,"Source page 8. Raw fields: Years='32 (2032)', Annual='$9.4M', Total='$301M'.",,,,,,,,,,,,,,Public,,,,,0.5806451612903226,18,1.0
SBJ-FULL-387,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=5 (2024); raw annual=$250K; raw total=$1.25M.,Ocean Bank Convocation Center,,Arena / Indoor Venue,Collegiate,United States,Miami,Florida,,,,Public,1986.0,,,5000.0,,,,Ocean Bank,Financial Services,,Listed in SBJ directory,,2020.0,2024.0,5.0,USD,1250000.0,250000.0,250000.0,1.0,250000.0,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,FIU Panthers,NCAA (Conference USA),Collegiate,N,1.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,Collegiate,,N,"Source page 8. Raw fields: Years='5 (2024)', Annual='$250K', Total='$1.25M'.",,,,,,,,,,,,,,Public,,,,,0.5483870967741935,17,1.0
SBJ-FULL-388,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=18 (2036); raw annual=$222K; raw total=$4M.,OceanFirst Bank Center,,Arena / Indoor Venue,Collegiate,United States,West Long Branch,New Jersey,,,,Private,2009.0,,,4100.0,,,,OceanFirst Bank,Financial Services,,Listed in SBJ directory,,2019.0,2036.0,18.0,USD,4000000.0,222000.0,222000.0,1.0,222000.0,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Monmouth Hawks,NCAA (Coastal Athletic Association),Collegiate,N,1.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,Collegiate,,N,"Source page 8. Raw fields: Years='18 (2036)', Annual='$222K', Total='$4M'.",,,,,,,,,,,,,,Private,,,,,0.5483870967741935,17,1.0
SBJ-FULL-393,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=20 (2029); raw annual=$250K; raw total=$5M.,ONEOK Field,,Ballpark / Field,Minor League,United States,Tulsa,Oklahoma,,,,Public,2010.0,,,7833.0,,,,ONEOK,Energy/Utilities,,Listed in SBJ directory,,2010.0,2029.0,20.0,USD,5000000.0,250000.0,250000.0,1.0,250000.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Tulsa Drillers,Texas League,Minor League,N,1.0,6185.0,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,Minor League,,N,"Source page 8. Raw fields: Years='20 (2029)', Annual='$250K', Total='$5M'.",,,,,,,,,,,,,,Public,,,,,0.5806451612903226,18,1.0
SBJ-FULL-395,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=20 (2039); raw annual=$16.25M; raw total=$325M.,Oracle Park,,Ballpark / Field,Major League,United States,San Francisco,California,,,,Private,2000.0,,,41915.0,,,,Oracle,Technology,,Listed in SBJ directory,,2020.0,2039.0,20.0,USD,325000000.0,16250000.0,16250000.0,1.0,16250000.0,,,Major League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,San Francisco Giants,Major League Baseball,Major League,N,1.0,30866.0,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,Major League,,N,"Source page 8. Raw fields: Years='20 (2039)', Annual='$16.25M', Total='$325M'.",,,,,,,,,,,,,,Private,,,,,0.5806451612903226,18,1.0
SBJ-FULL-399,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-05-20,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 8; raw years=10 (2033); raw annual=$500K; raw total=$5M.,OU Credit Union Arena,,Arena / Indoor Venue,Collegiate,United States,Rochester,,,,,Public,1998.0,,,4000.0,,,,Oakland University Credit Union,Financial Services,,Listed in SBJ directory,,2024.0,2033.0,10.0,USD,5000000.0,500000.0,500000.0,1.0,500000.0,,,Collegiate,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Oakland University Men's and Women's Basketball Volleyball,NCAA,Collegiate,N,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collegiate,,N,"Source page 8. Raw fields: Years='10 (2033)', Annual='$500K', Total='$5M'.",,,,,,,,,,,,,,Public,,,,,0.5161290322580645,16,1.0
SBJ-FULL-403,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 9; raw years=5 (2023); raw annual=$300K; raw total=$1.5M.,Parkview Field,,Ballpark / Field,Minor League,United States,Fort Wayne,Indiana,,,,Public,2009.0,,,8100.0,,,,Parkview Health,Health Care,,Listed in SBJ directory,,2019.0,2023.0,5.0,USD,1500000.0,300000.0,300000.0,1.0,300000.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Fort Wayne TinCaps,"Midwest League (MiLB, High-A)",Minor League,N,1.0,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,Minor League,,N,"Source page 9. Raw fields: Years='5 (2023)', Annual='$300K', Total='$1.5M'.",,,,,,,,,,,,,,Public,,,,,0.5483870967741935,17,1.0
SBJ-FULL-405,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 9; raw years=16 (2037); raw annual=$8 to $12 million; raw total=$128 to $192 million.,Paycor Stadium,,Stadium,Major League,United States,Cincinnati,Ohio,,,,Public,2000.0,,,65515.0,,,,Paycor,Financial Services,,Listed in SBJ directory,,2022.0,2037.0,16.0,USD,160000000.0,10000000.0,10000000.0,1.0,10000000.0,,,Major League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Cincinnati Bengals,National Football League,Major League,N,1.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,Major League,,N,"Source page 9. Raw fields: Years='16 (2037)', Annual='$8 to $12 million', Total='$128 to $192 million'. Range midpoint used in numeric annual fee field; min/max retained in SBJ_Public_Extract.",,,,,,,,,,,,,,Public,,,,,0.5483870967741935,17,1.0
SBJ-FULL-407,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 9; raw years=5 (2024); raw annual=$400K; raw total=$2M.,Pechanga Arena San Diego,,Arena / Indoor Venue,Minor League,United States,San Diego,California,,,,Public,1966.0,,,12920.0,,,,Pechanga Resort & Casino,Casino/Gambling,,Listed in SBJ directory,,2020.0,2024.0,5.0,USD,2000000.0,400000.0,400000.0,1.0,400000.0,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,"San Diego Gulls, San Diego Seals",American Hockey League,Minor League,Y,2.0,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,Minor League,,N,"Source page 9. Raw fields: Years='5 (2024)', Annual='$400K', Total='$2M'.",,,,,,,,,,,,,,Public,,,,,0.5483870967741935,17,1.0
SBJ-FULL-409,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,"Source reports Annual=N/A, Total=N/A",PeoplesBank Arena,,Arena / Indoor Venue,Minor League,United States,Hartford,Connecticut,,,,Public,1975.0,,,16294.0,,,,XL Group,Financial Services,,Listed in SBJ directory,,2019.0,2023.0,5.0,USD,20000000.0,2000000.0,,1.0,,,,Minor League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,Hartford Wolf Pack,American Hockey League,Minor League,N,1.0,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,Minor League,,Y,"Source page 9. Raw fields: Years='5 (2023)', Annual='N/A', Total='N/A'. Data notes: Source reports Annual=N/A, Total=N/A",,,,,,,,,,,,,,Public,,,,,0.5483870967741935,17,1.0
SBJ-FULL-410,Imported from user-provided SBJ table extract,4 - User-extracted SBJ directory,2026-07-01,SRC-SBJ-001,https://www.sportsbusinessjournal.com/Articles/2024/09/03/sports-facility-naming-rights-directory/,SBJ page 9; raw years=6 (2026); raw annual=$3M; raw total=$18M.,Petco Park,,Ballpark / Field,Major League,United States,San Diego,California,,,,Public,2004.0,,,40000.0,,,,Petco,Consumer Goods,,Listed in SBJ directory,,2021.0,2026.0,6.0,USD,18000000.0,3000000.0,3000000.0,1.0,3000000.0,,,Major League,Naming-rights listing in SBJ directory; specific assets not provided in source extract,,,,San Diego Padres,Major League Baseball,Major League,N,1.0,40741.0,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,Major League,,N,"Source page 9. Raw fields: Years='6 (2026)', Annual='$3M', Total='$18M'.",,,,,,,,,,,,,,PPP,,,,,0.5806451612903226,18,1.0
